Question,Answer
Kvitova Wins Wimbledon 2011,"Petra Kvitova won her first Grand Slam title at Wimbledon in 2011, defeating Maria Sharapova in the final."
Dementieva Retires After Winning Fed Cup,Elena Dementieva retired after winning the Fed Cup with Russia in 2010.
Nadal's Double Career Grand Slam,Rafael Nadal won his second Career Grand Slam by winning the 2017 US Open.
Hewitt Wins US Open 2001,"Lleyton Hewitt won the US Open in 2001, defeating Pete Sampras in the final."
Venus and Serena Williams Complete Career Golden Slam in Doubles,Venus and Serena Williams completed their Career Golden Slam in doubles by winning the 2001 Australian Open.
Safin Wins Australian Open 2005,"Marat Safin won the Australian Open in 2005, defeating Lleyton Hewitt in the final."
Roddick Wins US Open 2003,"Andy Roddick won the US Open in 2003, his only Grand Slam title."
Ivanovic Wins French Open 2008,"Ana Ivanovic won the French Open in 2008, her first and only Grand Slam title."
Cilic Wins US Open 2014,"Marin Cilic won the US Open in 2014, defeating Kei Nishikori in the final."
Del Potro Wins US Open 2009,"Juan Martin del Potro won the US Open in 2009, defeating Roger Federer in the final."
Nadal Wins US Open 2010,"Rafael Nadal won the US Open in 2010, completing his Career Grand Slam."
Barty Wins Australian Open 2022,"Ashleigh Barty won the Australian Open in 2022, her third Grand Slam title."
Andreescu Wins US Open 2019,"Bianca Andreescu won the US Open in 2019, defeating Serena Williams in the final."
Medvedev Wins US Open 2021,"Daniil Medvedev won the US Open in 2021, defeating Novak Djokovic in the final."
Djokovic Wins First Wimbledon 2011,"Novak Djokovic won his first Wimbledon title in 2011, defeating Rafael Nadal in the final."
Serena Wins 23rd Grand Slam Title 2017,"Serena Williams won her 23rd Grand Slam title at the Australian Open in 2017, setting a new record in the Open Era."
Murray Wins Second Wimbledon 2016,"Andy Murray won his second Wimbledon title in 2016, defeating Milos Raonic in the final."
Stosur Wins US Open 2011,"Samantha Stosur won the US Open in 2011, defeating Serena Williams in the final."
Schwartzman Defeats Nadal on Clay,Diego Schwartzman defeated Rafael Nadal on clay at the Italian Open in 2020.
Wozniacki Wins Australian Open 2018,Caroline Wozniacki won her first Grand Slam title at the Australian Open in 2018.
Mauresmo Wins Wimbledon 2006,"Amelie Mauresmo won Wimbledon in 2006, defeating Justine Henin in the final."
Li Na Wins French Open 2011,Li Na became the first Asian player to win a Grand Slam singles title at the French Open in 2011.
Seles Returns to French Open 2000,Monica Seles returned to the French Open in 2000 after recovering from a stabbing incident in 1993.
Nadal Defeats Federer at Australian Open 2009,Rafael Nadal defeated Roger Federer in a five-set thriller at the Australian Open in 2009.
Federer Wins Shanghai Masters 2017,"Roger Federer won the Shanghai Masters in 2017, defeating Rafael Nadal in the final."
Davenport Wins Wimbledon 2000,"Lindsay Davenport won Wimbledon in 2000, defeating Venus Williams in the final."
Bryan Brothers Complete Career Golden Slam,The Bryan brothers completed their Career Golden Slam by winning the 2012 London Olympics in men's doubles.
Gauff Wins WTA Title at 15,"Coco Gauff won her first WTA title at the age of 15 in Linz, Austria, in 2019."
Safina Reaches Three Grand Slam Finals,"Dinara Safina reached three Grand Slam finals in her career, but never won a title."
Azarenka's Return to Top 10,Victoria Azarenka returned to the top 10 in the WTA rankings in 2020 after taking time off for maternity leave.
Henin Wins Olympic Gold 2004,Justine Henin won the gold medal in women's singles at the 2004 Athens Olympics.
Kuznetsova Wins French Open 2009,"Svetlana Kuznetsova won the French Open in 2009, defeating Dinara Safina in the final."
Kyrgios Upsets Nadal at Wimbledon 2014,Nick Kyrgios upset Rafael Nadal in the fourth round of Wimbledon in 2014.
Hingis Returns to Doubles No. 1,Martina Hingis returned to the No. 1 ranking in doubles in 2016 after a successful comeback.
Pliskova Reaches US Open Final 2016,"Karolina Pliskova reached the US Open final in 2016, her first Grand Slam final."
Capriati Wins Australian Open 2001,"Jennifer Capriati won the Australian Open in 2001, her first Grand Slam title."
Gaudio Wins French Open 2004,"Gaston Gaudio won the French Open in 2004, defeating Guillermo Coria in the final."
Berdych Defeats Federer at Wimbledon 2010,Tomas Berdych defeated Roger Federer in the quarterfinals of Wimbledon in 2010.
Murray Wins Olympic Gold 2012,Andy Murray won the gold medal in men's singles at the 2012 London Olympics.
Schiavone Wins French Open 2010,"Francesca Schiavone won the French Open in 2010, her first and only Grand Slam title."
Dimitrov Wins ATP Finals 2017,"Grigor Dimitrov won the ATP Finals in 2017, his biggest career title to date."
Murray Wins Davis Cup 2015,"Andy Murray led Great Britain to a Davis Cup victory in 2015, their first since 1936."
Raonic Reaches Wimbledon Final 2016,"Milos Raonic reached the Wimbledon final in 2016, losing to Andy Murray."
Bartoli Wins Wimbledon 2013,"Marion Bartoli won Wimbledon in 2013, her first and only Grand Slam title."
Isner-Mahut Marathon Match 2010,"John Isner and Nicolas Mahut played the longest match in tennis history at Wimbledon in 2010, lasting 11 hours and 5 minutes."
Nishikori Reaches US Open Final 2014,"Kei Nishikori reached the US Open final in 2014, becoming the first Asian man to do so."
Myskina Wins French Open 2004,"Anastasia Myskina won the French Open in 2004, becoming the first Russian woman to win a Grand Slam title."
Coric Defeats Federer in Halle,Borna Coric defeated Roger Federer in the final of the Halle Open in 2018.
Svitolina Wins WTA Finals 2018,"Elina Svitolina won the WTA Finals in 2018, her biggest career title to date."
Vandeweghe Reaches US Open Semifinals 2017,"CoCo Vandeweghe reached the semifinals of the US Open in 2017, her best Grand Slam result."
Puig Wins Olympic Gold 2016,"Monica Puig won the gold medal in women's singles at the 2016 Rio Olympics, Puerto Rico's first Olympic gold."
Fish Reaches Career High Ranking,Mardy Fish reached a career-high ranking of No. 7 in the ATP rankings in 2011.
Verdasco Defeats Nadal at Australian Open 2009,Fernando Verdasco defeated Rafael Nadal in a five-set match at the Australian Open in 2009.
Tsonga Reaches Australian Open Final 2008,"Jo-Wilfried Tsonga reached the Australian Open final in 2008, his first and only Grand Slam final."
Bouchard Reaches Wimbledon Final 2014,"Eugenie Bouchard reached the Wimbledon final in 2014, her best Grand Slam result."
Gimeno Wins French Open 1972,"Andres Gimeno won the French Open in 1972, becoming the oldest first-time Grand Slam champion."
Martina Hingis' Comeback in 2013,"Martina Hingis made a successful comeback to professional tennis in 2013, primarily in doubles."
Agassi Wins Career Grand Slam,Andre Agassi completed his Career Grand Slam by winning the French Open in 1999.
Bartoli Wins First WTA Title 2006,Marion Bartoli won her first WTA title in 2006 at the ASB Classic in Auckland.
Nalbandian Defeats Federer at ATP Finals,David Nalbandian defeated Roger Federer in the final of the ATP Finals in 2005.
Serena Returns After Foot Surgery,Serena Williams returned to professional tennis in 2011 after foot surgery and won Wimbledon.
Thiem Reaches French Open Final 2018,"Dominic Thiem reached the final of the French Open in 2018, his first Grand Slam final."
Federer Wins Halle for 10th Time,Roger Federer won the Halle Open for the 10th time in 2019.
Kerber Wins Wimbledon 2018,"Angelique Kerber won Wimbledon in 2018, her third Grand Slam title."
Djokovic Wins Australian Open 2020,"Novak Djokovic won the Australian Open in 2020, his 17th Grand Slam title."
Serena Wins 100th US Open Match,Serena Williams won her 100th match at the US Open in 2019.
Venus Defeats Serena at Indian Wells 2018,"Venus Williams defeated Serena Williams at Indian Wells in 2018, their first meeting at the tournament since 2001."
Gaston Defeats Wawrinka at French Open 2020,Hugo Gaston defeated Stan Wawrinka in a thrilling five-set match at the French Open in 2020.
Gonzalez Wins Olympic Gold 2004,Fernando Gonzalez won the gold medal in men's singles at the 2004 Athens Olympics.
Kvitova Wins Madrid Open 2018,"Petra Kvitova won the Madrid Open in 2018, her third title at the tournament."
Radwanska Wins WTA Finals 2015,"Agnieszka Radwanska won the WTA Finals in 2015, her biggest career title."
Nadal Wins 12th Barcelona Title 2019,"Rafael Nadal won his 12th Barcelona Open title in 2019, continuing his dominance on clay."
